prompt,target,prediction
I would like to start my travel on the 6th. [OFFER(airlines=American Airlines); OFFER(outbound_departure_time=6:15 pm); OFFER(is_nonstop=True); OFFER(price=$118)],Would you like to fly with American Airlines that takes off at 6:15 pm. It is a direct flight and will cost $118.,I am booking a flight with American Airlines on the 6th.
It sounds good. [REQ_MORE],Is there anything I can help you with?,It sounds good.
No. Thanks for all your assistance. [GOODBYE],Have a nice day.,Thank you for your kind words.
Can you find me four Economy class one way tickets from Washington? [REQUEST(departure_date=)],When do you plan to travel?,Can you find me four Economy class one way tickets from Washington?
I'm planning to depart on the 13th of this month. [REQUEST(destination_airport=)],Where are you going to?,I'm planning to depart on the 13th of this month.
I'm flying to San Fran. [OFFER(airlines=Delta Airlines); OFFER(outbound_departure_time=6:50 pm); OFFER(is_nonstop=False); OFFER(price=$252)],There is a Delta Airlines flight that departs at 6:50 pm and a ticket costs $252. Does that sound okay?,I'm flying to San Fran.
Yes. That's perfect. [REQ_MORE],Is there anything else I can do for you?,Yes. That's perfect.
No. Thank you. That'll be all. [GOODBYE],Have a great day!,I'm sorry.
I'm looking for a one way flight ticket. [REQUEST(destination_airport=)],Where are you traveling to?,I'm looking for a one way flight ticket.
I'm going to Berlin. [REQUEST(departure_date=)],What date would you like to travel on?,[REQUEST(departure_date=)]
I'm leaving on the 1st of March. [REQUEST(origin_airport=)],Where are you departing from?,I'm leaving on 1st of March.
I'm looking for a flight from Chi-town. [OFFER(airlines=American Airlines); OFFER(outbound_departure_time=4:35 pm); OFFER(is_nonstop=False); OFFER(price=$407); INFORM_COUNT(count=4)],I found 4 flights for you. There is a connecting American Airlines flight departing at 4:35 pm for $407.,I'm looking for a flight from Chi-town.
That works for me. [REQ_MORE],Is there anything else I can help you with?,I have a good day.
"No, thank you. [GOODBYE]",Have a great day.,Is there anything else I can do to help you with?
Find me a one way flight. [REQUEST(destination_airport=)],where are you going?,Is there anything else I can help you with?
Going to KL. [REQUEST(origin_airport=)],What is the city of departure?,Going to KL
I need four tickets from Chi-town [REQUEST(departure_date=)],whats the date of travel?,I need four tickets from Chi-town.
"ok, find me me Southwest Airlines economy tickets for 14th of this month. [OFFER(airlines=Southwest Airlines); OFFER(outbound_departure_time=6:40 am); OFFER(is_nonstop=False); OFFER(price=$485)]","Ok, there is a Southwest Airlines connecting flight leaving at 6:40 am and $485",I have a reservation for the Southwest Airlines economy tickets for 14th of this month.
"that is great, thats all. [GOODBYE]",have a good day!,Thats all.
Can you book me a one-way flight? [REQUEST(origin_airport=)],Where do you want to depart from?,Can you book me a one-way flight?
From Los Angeles heading to Washington. [REQUEST(departure_date=)],WHen would you like to travel?,From Los Angeles heading to Washington.
On the 5th please. [OFFER(airlines=Alaska Airlines); OFFER(outbound_departure_time=8:10 pm); OFFER(is_nonstop=True); OFFER(price=$178); INFORM_COUNT(count=5)],I found 5 options. Would Alaska Airlines work? I found a flight leaving at 8:10 pm and costing $178.,On the 5th please.
That sounds good. [REQ_MORE],Do you need anything else?,[REQ_MORE]
No thank you. [GOODBYE],Have a great day.,No thank you.
I'm taking a trip to Portland on the 6th of March. Can you find me a one flight? I will only be purchasing one ticket. [REQUEST(origin_airport=)],Okay no problem. What city are you departing from?,I'm taking a trip to Portland on the 6th of March.
I will be leaving out of NY. [OFFER(airlines=American Airlines); OFFER(outbound_departure_time=4:25 am); OFFER(is_nonstop=False); OFFER(price=$278); INFORM_COUNT(count=4)],"Okay, I've found 4 flights for you. Are you okay with flight American Airlines? There is a connecting flight taking off at 4:25 am. The ticket will be $278.",I am leaving for the NY trip.
No that's not what I'm looking for. Find something else for me. [OFFER(airlines=Delta Airlines); OFFER(outbound_departure_time=5:30 am); OFFER(is_nonstop=False); OFFER(price=$313)],How about Delta Airlines? There is a connecting flight taking off at 5:30 am. Tickets are $313.,5:30 am;(not_stop=False); OFFER(price=$313)]
Is this economy or business class? [INFORM(seating_class=Economy)],The ticket is for an Economy class seat.,Is this economy or business class?
"Okay, well that sounds good. That's all I need for now. [GOODBYE]",My pleasure. Have a good day.,"Okay, well that sounds good."
I'm after a one way premium economy flight to Chicago on united Airlines. [REQUEST(origin_airport=)],Where are you departing from?,I'm after a one way premium economy flight to Chicago on united Airlines.
Out of Ciudad de Mexico. [REQUEST(departure_date=)],What date are you traveling?,Out of Ciudad de Mexico
I am leaving next Wednesday. [OFFER(airlines=United Airlines); OFFER(outbound_departure_time=7:10 am); OFFER(is_nonstop=False); OFFER(price=$485)],I have a flight with united Airlines departing 7:10 am. It is a connecting flight and the total cost is $485.,I am leaving United Airlines next Wednesday.
Okay that sounds good. [REQ_MORE],Can I help with anything else?,"Okay, that's good."
No that's it for now. [GOODBYE],Have a great day.,[GOODBYE]
"I'm looking for a flight, a one way flight. [REQUEST(departure_date=)]",When will you be travelling?,I'm looking for a one way flight.
This flight is for March 14th. [REQUEST(destination_airport=)],And where will you be going?,This flight is for March 14th.
I'll be going to New York. [REQUEST(origin_airport=)],And where will you be travelling from?,I'll be in New York.
I'll be travelling from Vegas. [OFFER(airlines=American Airlines); OFFER(outbound_departure_time=8:20 am); OFFER(is_nonstop=False); OFFER(price=$276); INFORM_COUNT(count=3)],"There are 3 flights that match. There's an American Airlines flight that leaves at 8:20 am, which is a connecting flight. It is $276 per ticket.",I'll be travelling from Vegas.
"Okay, that works for me. [REQ_MORE]",Do you need me to do anything else for you?,"Okay, okay, that works for me."
"Nope, thanks a lot for the assistance. [GOODBYE]",Have a pleasant day.,"Nope, thanks for the assistance."
I need you to find me a one way flight on the 2nd of this month. Please find me Premium Economy class tickets. [REQUEST(origin_airport=); REQUEST(destination_airport=)],Where are you departing from and where is your destination?,? I have a good time.
I am going to SF from LA. Please look there. [OFFER(airlines=Alaska Airlines); OFFER(outbound_departure_time=11:40 pm); OFFER(is_nonstop=True); OFFER(price=$130)],There is a direct flight with Alaska Airlines that costs $130 and departs at 11:40 pm.,I am going to SF from LA. I am going to SF from LA.
Please find me a different flight. [OFFER(airlines=American Airlines); OFFER(outbound_departure_time=9:30 am); OFFER(is_nonstop=True); OFFER(price=$154)],There is a flight with American Airlines that cost $154 and departs at 9:30 am.,Please find me a different flight.
That sounds great. [REQ_MORE],Is there anything else I can help with?,That is great.
No. I am all set. Thank you. [GOODBYE],Have a great day.,I have a good day.
I'm looking for a one-way flight for 2 to LA. [REQUEST(departure_date=)],For what date?,I'm looking for a one-way flight for 2 to LA.
For the 13th of this month. [REQUEST(origin_airport=)],Where are you leaving from?,For the 13th of this month.
I'm leaving from NY. [OFFER(airlines=American Airlines); OFFER(outbound_departure_time=1:40 pm); OFFER(is_nonstop=True); OFFER(price=$199); INFORM_COUNT(count=4)],I found 4 possible flights. There's on with American Airlines for $199 that leaves at 1:40 pm.,I'm leaving from NY.
Is it economy or business class? What time does it get to LA? [INFORM(seating_class=Economy); INFORM(outbound_arrival_time=4:50 pm)],It's economy and arrives at 4:50 pm.,Is it economy or business class?
On second thought I want four tickets for the day after tomorrow. [OFFER(airlines=Delta Airlines); OFFER(outbound_departure_time=7:50 am); OFFER(is_nonstop=True); OFFER(price=$178)],Delta Airlines has one leaving at 7:50 am for $178.,I have booked 178 tickets for the day after tomorrow.
That sounds good. That's all I need for now. [GOODBYE],Have a wonderful day.,That sounds good.
I have a plan to go for a trip. Will you find a one way flight? [REQUEST(destination_airport=); REQUEST(origin_airport=); REQUEST(departure_date=)],From which city do you wish to depart from and at what date you like to travel? Where are you planning to go?,I have a plan to go for a one way flight.
"I need to depart from LA and i need to start my travel on this sunday. I planning to go to Toronto, Ontario and please find me any ticket class in that flight. [OFFER(airlines=Alaska Airlines); OFFER(outbound_departure_time=11:05 am); OFFER(is_nonstop=True); OFFER(price=$202); INFORM_COUNT(count=5)]",I found 5 flights as per your need. What about ALaska airlines? It will takes off at 11:05 am and it is a direct flight . it costs $202.,"I am planning to go to Toronto, Ontario on this sunday."
When does the flight arrive at my destinations? How many tickets should i get? [INFORM(number_of_tickets=1); INFORM(outbound_arrival_time=7:34 pm)],it is for 1 passengers. The flight arrives at 7:34 pm,Is there any other flight I can get?
ok that sounds good. that's all i need [GOODBYE],"Have a wonderful day, take care. bye","ok, that sounds good."
I need help finding a one way flight. [REQUEST(destination_airport=); REQUEST(origin_airport=)],Please tell me your origin and destination cities.,I am looking for a one way flight.
Please find flights from Chicago to Mexico City. [REQUEST(departure_date=)],What's your preferred travel date?,Please find flights from Chicago to Mexico City.
I'd like to leave on the 8th. [OFFER(airlines=American Airlines); OFFER(outbound_departure_time=2:05 pm); OFFER(is_nonstop=False); OFFER(price=$326); INFORM_COUNT(count=4)],"Among the 4 suitable flights I found is an American Airlines flight with a connection, leaving at 2:05 pm, at $326 per ticket.",I'd like to leave for the 8th on the American Airlines flight.
That won't work. Please look for another flight. [OFFER(airlines=Delta Airlines); OFFER(outbound_departure_time=4:10 pm); OFFER(is_nonstop=False); OFFER(price=$305)],"How about Delta Airlines, which has a 4:10 pm flight, with a connection, at a price of $305 per ticket?",I've booked 305 tickets for you.
That should work. [REQ_MORE],Would you like my help with anything else?,That should work.
No. Thank you very much. You've been very helpful. [GOODBYE],"Goodbye, and have a great day!",Thank you for your kind words.
I'm looking for a flight that is one way. [REQUEST(origin_airport=); REQUEST(departure_date=); REQUEST(destination_airport=)],"Where will you be leaving from, on what date, and where you are heading to?",I'm looking for a flight that is one way.
"I'm leaving from New York on Tuesday next week, and I'm heading to Toronto, Canada. [OFFER(airlines=American Airlines); OFFER(outbound_departure_time=7 pm); OFFER(is_nonstop=True); OFFER(price=$124); INFORM_COUNT(count=3)]","I've found 3 flights that can work. There's an American Airlines flight at 7 pm, it's direct, and it is $124 per ticket.","I'm heading to Toronto, Canada. I'm leaving from New York on Tuesday next week."
